cluster_id	KSLabel
0	good
1	mua
2	good
3	mua
4	mua
5	mua
6	mua
7	good
8	mua
9	mua
10	good
11	mua
12	mua
13	good
14	mua
15	mua
16	good
17	good
18	good
19	mua
20	mua
21	mua
22	mua
23	mua
24	mua
25	mua
26	mua
27	good
28	mua
29	mua
30	mua
31	mua
32	good
33	mua
34	mua
35	mua
36	mua
37	good
38	good
39	mua
40	mua
41	good
42	mua
43	good
44	good
45	mua
46	good
47	mua
48	good
49	mua
50	mua
51	mua
52	mua
53	mua
54	good
55	mua
56	mua
57	good
58	good
59	mua
